count,whiteWins,blackWins,draw,opening_name,opening_variation
135660,62853,66438,6369,Alekhine Defense, Scandinavian Variation
135453,66355,63939,5159,French Defense, Two Knights Variation
134762,68500,60656,5606,Italian Game," Classical Variation, Giuoco Pianissimo"
131463,66666,59319,5478,Semi-Slav Defense, Accelerated Move Order
130778,63586,63260,3932,Englund Gambit Complex Declined,~
130758,66186,59326,5246,Zukertort Opening, Pirc Invitation
130363,70088,55855,4420,Queen's Gambit Declined, Chigorin Defense
129278,64256,60696,4326,Vienna Game, Anderssen Defense
125313,64788,54471,6054,Semi-Slav Defense,~
124214,109495,11789,2930,King's Pawn,~
124117,63748,55285,5084,Hungarian Opening, Catalan Formation
123660,62395,56363,4902,Zukertort Opening, Black Mustang Defense
123555,60870,57601,5084,Sicilian Defense, Delayed Alapin Variation
122531,56786,60334,5411,Sicilian Defense, Najdorf Variation
121594,63824,53534,4236,Queen's Gambit Declined, Baltic Defense
119780,61919,52565,5296,Slav Defense, Three Knights Variation
118736,62245,51136,5355,Slav Defense, Modern Line
116401,55857,56458,4086,Mieses Opening, Reversed Rat
116030,57727,53691,4612,Queen's Pawn Game, Krause Variation
112663,53970,55119,3574,Queen's Pawn Game, Franco-Sicilian Defense
112617,56495,51854,4268,Queen's Gambit Declined, Normal Defense
112244,57619,50169,4456,Bishop's Opening, Vienna Hybrid
111395,56316,51136,3943,Nimzowitsch Defense," Scandinavian Variation, Advance Variation"
110609,54628,51148,4833,Indian Defense, Wade-Tartakower Defense
110112,51266,53993,4853,Sicilian Defense, Staunton-Cochrane Variation
109769,49634,56143,3992,Gedult's Opening,~
107963,53330,49993,4640,Hungarian Opening, Indian Defense
106566,54558,47214,4794,Caro-Kann Defense, Panov Attack
106261,51032,51283,3946,French Defense, Steinitz Attack
105481,52952,48501,4028,Nimzowitsch Defense, Declined Variation
105420,48013,54154,3253,Zukertort Opening, Lemberger Gambit
104455,51263,48681,4511,Hungarian Opening, Symmetrical Variation
104395,52269,47862,4264,Indian Defense, Normal Variation
103995,52082,48116,3797,Ruy Lopez, Bird Variation
103940,52895,46652,4393,Queen's Pawn Game, Anti-Torre
103814,50526,49062,4226,Queen's Pawn Game, Steinitz Countergambit
103726,52603,46257,4866,Indian Defense, London System
103432,52263,46451,4718,English Opening," Anglo-Indian Defense, Queen's Knight Variation"
102936,54813,43208,4915,Queen's Gambit Declined, Ragozin Defense
102265,49970,47517,4778,Trompowsky Attack,~
